case_id,hsa-mir-155,hsa-mir-146a,hsa-mir-21,hsa-mir-150,hsa-mir-125b-1,hsa-mir-125b-2,hsa-mir-200c,hsa-mir-200a,hsa-mir-200b,hsa-mir-34a,hsa-mir-23a,hsa-mir-23b,hsa-mir-27a,hsa-mir-27b,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-10a,hsa-mir-10b,hsa-mir-126,hsa-mir-181a-1,hsa-mir-181a-2,hsa-mir-181b-1,hsa-mir-181b-2,hsa-mir-100,hsa-mir-101-1,hsa-mir-101-2,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7c,hsa-let-7d,hsa-let-7e,hsa-let-7f-1,hsa-let-7f-2,hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-19b-1,hsa-mir-19b-2,hsa-mir-20a,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-124-1,hsa-mir-124-2,hsa-mir-124-3,hsa-mir-223,hsa-mir-30a,hsa-mir-30b,hsa-mir-30c-1,hsa-mir-30c-2,hsa-mir-30d,hsa-mir-30e,num_patches,file
TCGA-OR-A5JV,6.8754,6.8596,15.8441,7.2285,9.6605,3.0787,4.8625,2.66,2.2072,9.2573,11.6257,8.1778,8.8818,7.8679,13.5942,11.2028,11.3069,11.7612,14.0914,17.6453,12.2285,12.3697,11.0427,9.2683,4.4915,8.2889,14.0585,6.234,12.0397,13.0239,12.0546,12.172,8.4626,10.4717,11.8128,4.2056,12.2873,8.0768,1.4343,4.2221,1.8293,5.7259,7.3614,7.9973,11.8647,0.0,0.0,0.0,8.2165,14.5381,9.5237,1.5436,10.2398,14.2782,14.5914,No WSI Data,No WSI Data
TCGA-OR-A5JW,4.7905,2.778,15.6337,5.8669,9.8522,4.4059,3.2911,0.2069,0.945,9.3419,12.088,8.6379,9.675,8.3812,13.3878,9.3616,9.4881,11.4947,14.8625,16.8029,11.67,11.5139,10.2353,9.0949,4.3082,10.3073,13.8098,6.4588,14.0023,14.9945,14.0026,13.5582,10.9397,8.182,12.5393,6.4864,15.2291,7.6751,1.1593,3.2213,2.2794,5.2656,7.0264,7.6465,11.1521,0.0,0.0,0.0,6.3594,13.7762,7.9335,0.8245,9.1441,12.6038,13.3375,2000.0,TCGA-OR-A5JW.pt
TCGA-OR-A5JX,4.5158,2.9929,15.5911,6.3378,10.4934,3.8669,3.693,0.8708,0.7337,8.8943,10.8106,8.7661,8.8131,8.4997,12.8549,10.3166,10.3799,10.5875,13.7441,17.894,12.4297,11.1699,10.1518,8.4609,3.5162,12.6569,13.3298,6.7468,12.8616,13.8533,12.8643,11.9887,10.5707,9.8452,12.9041,5.7908,14.0881,8.5239,1.2178,3.9924,2.1092,6.2774,7.1965,8.1357,12.1517,0.0,0.0,0.0,6.5285,14.1194,9.3842,0.2212,9.9574,13.6148,13.0134,No WSI Data,No WSI Data
TCGA-OR-A5JY,7.0615,5.2156,17.8175,4.1904,8.6032,3.904,6.315,0.3493,0.0,9.3429,10.5622,8.3138,8.9652,8.5796,12.1722,9.7669,9.892,9.9159,14.9581,17.115,11.4186,12.1665,9.3937,10.7833,5.699,10.3274,12.2145,5.414,11.9792,12.9801,12.0266,10.0159,8.9219,6.7004,12.0287,3.6124,11.8575,9.1046,4.4108,5.0936,2.2735,6.3686,8.5076,8.3311,12.414,0.3493,0.0,0.0,7.1753,13.316,8.9276,1.2446,10.1846,13.4614,13.8068,963.0,TCGA-OR-A5JY.pt
TCGA-OR-A5JZ,5.3751,4.0528,16.5779,5.2755,10.9237,5.3575,4.1784,1.1749,1.1749,9.1969,11.9124,8.4529,9.2111,8.0506,12.0036,10.0578,10.1745,10.2708,11.1932,14.7052,11.4373,12.1408,9.5529,10.1086,5.2084,8.4204,12.6494,6.4182,14.052,15.0463,14.0623,14.201,12.6129,10.8578,13.1017,6.7604,14.9935,7.8946,1.7066,3.6229,1.8138,5.4096,7.1382,8.2533,11.5615,0.0,0.0,0.0,5.7703,13.3367,8.6346,1.1749,10.491,14.028,14.0938,386.0,TCGA-OR-A5JZ.pt
TCGA-OR-A5K0,3.7253,2.2087,16.4117,3.692,5.3786,1.4116,5.4845,5.0377,4.5996,5.5464,9.8935,10.0698,8.7687,10.9089,11.6608,7.9477,8.0855,10.0969,16.0173,17.2595,9.6869,9.5037,9.668,8.3011,3.0954,7.598,13.0973,4.0352,13.1011,14.0818,13.0927,13.3319,6.7327,10.0724,10.8947,6.5071,13.8894,7.8396,2.2999,3.4141,1.8941,5.5741,7.0739,7.7514,11.8006,0.0,0.0,0.0,4.6867,14.026,8.0299,0.8112,9.0429,11.8518,13.5012,2000.0,TCGA-OR-A5K0.pt
TCGA-OR-A5K1,5.0802,3.2027,15.8201,6.0264,9.7765,3.7459,3.5524,0.706,0.8811,8.8902,9.8438,8.112,7.3113,7.664,12.3434,9.2915,9.4229,9.3136,14.6261,17.8867,12.3359,12.0873,9.6594,9.1356,4.6311,8.6015,12.7604,6.7165,13.1165,14.1248,13.1398,13.0618,10.6496,9.7521,11.7578,5.7835,13.8366,7.3822,1.0372,2.785,1.533,5.0346,6.5645,7.3767,10.8697,0.0,0.0,0.0,5.9401,13.6304,8.6178,1.0372,10.1899,13.6404,14.1067,No WSI Data,No WSI Data
TCGA-OR-A5K2,5.2466,2.9288,14.9424,4.195,8.7397,2.7316,4.9704,1.2399,1.2399,7.7018,11.4294,8.6496,9.3726,8.3782,11.4666,8.1382,8.3371,8.8851,14.7835,17.0091,11.1091,11.2741,10.3715,9.022,4.2985,9.0019,13.0201,4.9157,14.2393,15.2225,14.2427,14.2873,9.4061,10.7783,13.0404,5.6447,14.6663,6.9895,1.9702,2.5032,1.7375,4.4729,6.0008,7.0309,11.0542,0.0,0.0,0.0,6.0482,14.1637,8.0876,0.9802,9.394,12.5711,13.3603,No WSI Data,No WSI Data
TCGA-OR-A5K3,6.5611,4.2792,16.2091,5.6192,10.4953,5.0121,3.5058,0.6558,0.2532,10.4122,9.7713,7.4763,7.6503,7.4902,12.7569,8.8895,9.0595,10.7288,13.7659,17.4578,11.3253,12.4957,9.722,8.9535,4.78,9.0216,13.5024,7.088,12.6604,13.656,12.6422,11.6435,10.1919,10.1831,13.2652,5.4007,14.6276,8.0817,1.7234,4.2934,1.5452,5.5381,8.1965,8.8239,12.1767,0.0,0.6558,0.4685,5.8904,13.8522,8.2338,1.7234,10.4314,13.5241,14.0142,No WSI Data,No WSI Data
TCGA-OR-A5K4,4.4909,3.2526,14.9518,4.6717,9.9743,5.0543,4.1494,0.8399,1.1788,6.7564,10.4518,8.7314,7.9766,8.4195,11.473,9.4474,9.5637,10.1549,13.0967,17.2856,11.1024,12.8156,9.1287,9.7899,5.068,4.7752,13.1073,6.7648,14.0506,15.0468,14.0623,14.0503,12.0494,10.4599,13.0617,6.3583,14.7385,7.3799,2.3526,3.8975,2.2605,5.362,6.6627,8.7405,12.1147,0.0,0.2116,0.0,5.4376,14.6542,9.3544,1.6106,10.8219,14.3553,14.2816,No WSI Data,No WSI Data
TCGA-OR-A5K5,6.0218,0.778,15.7419,4.0945,9.9595,2.403,4.4416,0.0,0.0,8.0621,11.7094,8.8135,10.4687,9.1484,10.6945,7.5151,7.7702,8.5139,15.5352,17.5621,11.7863,11.606,9.7858,9.8504,4.9216,11.6718,11.5605,4.064,13.2588,14.2546,13.2871,12.7653,9.5619,8.0349,13.4198,4.064,12.1767,6.6745,1.2807,2.8229,1.4787,4.9216,5.7328,6.8321,10.91,1.6528,1.0512,1.4787,5.5246,13.7382,8.214,1.0512,9.526,12.2695,13.2637,No WSI Data,No WSI Data
TCGA-OR-A5K6,5.9969,2.6592,16.1014,6.712,8.1891,2.5088,5.495,0.3926,0.9548,9.2143,11.9971,8.2761,10.3754,9.129,10.7547,9.6502,10.0193,12.3124,15.0643,17.8816,12.7615,11.0155,10.7476,9.6863,5.3253,10.0571,12.9458,4.186,11.8801,12.8444,11.8641,13.5101,8.7391,9.347,9.4001,4.4148,11.3715,8.2423,2.9783,5.5729,2.5088,6.7627,6.9088,8.4174,12.7134,0.0,0.0,0.0,6.7544,13.0256,8.482,0.3926,9.2745,11.7424,14.3764,No WSI Data,No WSI Data
TCGA-OR-A5K8,4.8938,2.3974,16.0188,4.8534,9.3218,2.5668,3.5037,0.2193,0.8646,9.2297,11.7966,8.4281,9.0213,8.1942,12.9066,9.0728,9.1301,10.7791,14.6093,17.9623,11.3452,11.8731,10.0365,8.9031,4.0528,9.7025,13.5522,6.3213,12.9566,13.953,12.9594,12.1595,8.6636,9.6706,12.1488,5.7291,14.2786,8.2055,1.3089,4.3012,2.8557,6.0871,7.4116,8.3634,11.9896,0.5777,0.2193,0.0,4.095,12.6636,8.6058,0.8646,9.3054,12.7538,13.6311,1385.0,TCGA-OR-A5K8.pt
TCGA-OR-A5K9,4.7014,2.1515,15.5478,2.8474,9.0456,4.8116,1.6162,1.3822,0.545,8.66,11.7804,8.1404,10.482,8.4402,11.8336,7.6701,7.8912,9.4382,14.6047,18.0098,10.8346,12.2598,9.7437,10.1164,4.9466,7.3328,12.2696,5.2721,13.6142,14.6131,13.6128,14.1221,12.14,9.3373,11.9985,5.7917,14.3032,8.159,2.0749,4.0337,2.483,5.9923,6.7296,8.1832,12.0785,0.0,0.0,0.0,4.1687,11.8346,8.4844,0.9397,9.0004,12.854,13.1004,No WSI Data,No WSI Data
TCGA-OR-A5KO,6.0902,2.1695,16.227,4.1917,7.7055,2.4258,2.6434,1.459,1.3395,7.6594,11.3879,9.1586,9.2479,8.7852,12.0549,8.7327,8.7577,9.3807,15.0658,17.1646,11.4898,11.2343,10.0516,8.2911,3.9063,9.628,12.8064,6.6972,14.1529,15.1444,14.1482,13.8973,9.5863,10.0432,12.818,6.5569,15.1609,8.3913,2.0219,4.3393,2.3658,6.0287,7.3236,9.0135,12.2579,0.2853,0.0,0.0,5.699,12.6598,8.8624,1.2091,9.5497,13.4711,13.052,No WSI Data,No WSI Data
TCGA-OR-A5KT,7.512,3.5111,16.6127,9.0028,9.6115,4.1117,4.0274,0.6679,1.1227,9.1255,12.1878,9.5663,9.6714,9.4464,12.6465,10.0625,10.1986,11.7856,14.835,17.1067,13.4525,11.9004,8.8957,10.1605,4.4593,9.1841,13.6741,6.2171,13.6521,14.6504,13.6543,14.3551,10.3282,9.7894,11.4562,6.1786,14.1824,8.6592,1.6593,4.7286,2.9023,6.3653,7.8964,9.3633,13.1776,0.0,0.0,0.0,7.6537,13.8415,8.7243,1.3617,10.1672,12.3765,14.2015,No WSI Data,No WSI Data
TCGA-OR-A5KU,9.8725,2.9225,18.1066,5.1242,9.4141,3.1282,3.9738,0.8273,0.4721,9.4324,10.6074,7.5047,9.9524,8.5552,13.4653,10.1337,10.2273,11.9659,13.4476,16.963,11.8756,9.9656,8.2459,7.6797,3.221,10.6755,12.2388,5.4135,11.9338,12.9232,11.9416,12.715,8.3919,8.8302,11.2674,5.2021,13.0067,7.2275,2.8852,3.9009,0.9767,5.9218,6.6287,7.2607,11.3614,0.2553,0.2553,0.0,6.9466,12.5574,9.3914,0.0,9.2024,11.9462,12.59,No WSI Data,No WSI Data
